epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3861,0.75173,1.95563,1.07975,0.90202,0.45468,0.73468,0.56584,0.8274,2.15755,0.98528,0.00036,0.00036,0.00036
2,29.8396,0.72913,1.01559,1.00028,0.86233,0.45679,0.57623,0.46022,1.30788,2.29532,1.52792,0.00072779,0.00072779,0.00072779
3,46.1989,0.76386,0.95324,1.0161,0.73449,0.33333,0.40526,0.32001,1.18989,2.16994,1.24919,0.00108304,0.00108304,0.00108304
4,62.4132,0.70417,0.88744,1.00637,0.73787,0.7284,0.74749,0.59823,0.93277,1.33619,1.05778,0.00142575,0.00142575,0.00142575
5,77.1076,0.72276,0.84286,1.02285,0.78043,0.74074,0.77401,0.63527,1.05625,1.76337,1.20044,0.00175592,0.00175592,0.00175592
6,92.2591,0.68902,0.79113,0.99493,0.82431,0.77778,0.81919,0.67852,0.90835,1.10901,1.12971,0.001835,0.001835,0.001835
7,107.72,0.72224,0.77724,1.01932,0.85358,0.80247,0.83367,0.68806,0.72805,0.88375,0.95709,0.001802,0.001802,0.001802
8,122.16,0.7178,0.74954,1.01298,0.82248,0.87654,0.865,0.71754,0.80676,1.13596,1.0857,0.001769,0.001769,0.001769
9,138.748,0.68232,0.71644,0.99083,0.81761,0.83951,0.81752,0.67261,0.86995,0.91654,1.02623,0.001736,0.001736,0.001736
10,153.458,0.68574,0.72278,1.00657,0.89839,0.79012,0.89822,0.75024,0.77662,0.81352,1.03195,0.001703,0.001703,0.001703
11,167.072,0.66435,0.66501,0.9862,0.91391,0.83951,0.86377,0.73113,0.85657,0.91459,1.06938,0.00167,0.00167,0.00167
12,182.441,0.63241,0.63385,0.97016,0.90203,0.79012,0.8775,0.72878,0.85383,0.97748,1.12059,0.001637,0.001637,0.001637
13,197.336,0.63378,0.62916,0.96732,0.8606,0.83951,0.86746,0.7328,0.80062,0.86117,1.06403,0.001604,0.001604,0.001604
14,212.603,0.62361,0.62677,0.97247,0.83656,0.88473,0.87884,0.74257,0.66675,0.66324,0.94045,0.001571,0.001571,0.001571
15,230.246,0.61935,0.60382,0.97817,0.88291,0.83951,0.85847,0.71591,0.89473,0.86657,1.15249,0.001538,0.001538,0.001538
16,245.43,0.61401,0.57965,0.95539,0.88715,0.77645,0.79765,0.69255,0.89275,1.2086,1.13367,0.001505,0.001505,0.001505
17,259.968,0.59876,0.5479,0.97088,0.89188,0.76543,0.82695,0.68664,0.84522,1.13136,1.08187,0.001472,0.001472,0.001472
18,274.59,0.57549,0.51253,0.94156,0.86109,0.82716,0.88004,0.73749,0.77428,0.96267,1.07018,0.001439,0.001439,0.001439
19,289.801,0.611,0.53663,0.95653,0.8883,0.88366,0.91471,0.78715,0.6483,0.60288,0.93206,0.001406,0.001406,0.001406
20,303.209,0.59715,0.5037,0.96108,0.92173,0.87234,0.91773,0.78819,0.68577,0.52773,0.96595,0.001373,0.001373,0.001373
21,319.894,0.60171,0.52416,0.96471,0.92989,0.81871,0.89113,0.75761,0.79924,0.77953,1.04019,0.00134,0.00134,0.00134
22,333.912,0.55981,0.4989,0.94689,0.87341,0.85178,0.89969,0.76363,0.89574,0.85009,1.12885,0.001307,0.001307,0.001307
23,349.672,0.56293,0.47939,0.94213,0.91034,0.77778,0.87367,0.73268,0.89725,0.93677,1.14106,0.001274,0.001274,0.001274
24,364.351,0.57385,0.46276,0.94629,0.90904,0.86363,0.89902,0.76034,0.81813,0.58063,1.05242,0.001241,0.001241,0.001241
25,379.35,0.54736,0.46757,0.93255,0.91748,0.85185,0.8915,0.76123,0.76389,0.63908,0.9591,0.001208,0.001208,0.001208
26,394.74,0.5455,0.46847,0.93964,0.90749,0.84783,0.91778,0.78552,0.80355,0.58834,1.0426,0.001175,0.001175,0.001175
27,410.863,0.52642,0.45175,0.9315,0.91999,0.85168,0.92106,0.79576,0.75269,0.85384,1.02957,0.001142,0.001142,0.001142
28,425.958,0.52739,0.44629,0.93238,0.92401,0.90074,0.94076,0.79876,0.6879,0.59045,1.01222,0.001109,0.001109,0.001109
29,440.836,0.54403,0.43458,0.93756,0.90306,0.83951,0.92967,0.81933,0.56799,0.84469,0.88773,0.001076,0.001076,0.001076
30,456.204,0.53401,0.44593,0.93021,0.90807,0.82716,0.91332,0.80544,0.6456,0.96777,0.94343,0.001043,0.001043,0.001043
31,472.989,0.51419,0.42642,0.92386,0.9196,0.84733,0.91288,0.77842,0.81166,0.6671,1.11534,0.00101,0.00101,0.00101
32,487.574,0.5046,0.41139,0.92051,0.90995,0.87327,0.91929,0.80311,0.67697,0.51174,1.02295,0.000977,0.000977,0.000977
33,504.617,0.52192,0.41835,0.92997,0.85376,0.88889,0.92959,0.80621,0.70529,0.57455,1.06916,0.000944,0.000944,0.000944
34,521.422,0.49558,0.40754,0.92234,0.91847,0.85185,0.92066,0.80756,0.76961,0.92973,1.02868,0.000911,0.000911,0.000911
35,536.622,0.50445,0.40028,0.92122,0.931,0.8642,0.89572,0.77774,0.82761,0.83853,1.10279,0.000878,0.000878,0.000878
36,553.612,0.50228,0.40336,0.90795,0.90214,0.8642,0.88019,0.75415,0.84795,0.89029,1.10764,0.000845,0.000845,0.000845
37,568.441,0.46764,0.38858,0.92011,0.92873,0.81481,0.88592,0.76209,0.73402,0.74854,1.05197,0.000812,0.000812,0.000812
38,585.103,0.49167,0.39798,0.91302,0.88532,0.85783,0.9034,0.77847,0.81293,0.60481,1.22389,0.000779,0.000779,0.000779
39,601.185,0.48366,0.38986,0.91085,0.90369,0.83951,0.88548,0.78646,0.76546,1.19981,1.07899,0.000746,0.000746,0.000746
40,616.801,0.49236,0.38037,0.91297,0.88225,0.83259,0.89969,0.79419,0.83725,1.23121,1.12064,0.000713,0.000713,0.000713
41,632.609,0.50076,0.40035,0.91839,0.90408,0.83951,0.90879,0.80505,0.77294,0.85373,1.03286,0.00068,0.00068,0.00068
42,648.914,0.48417,0.38289,0.91671,0.80785,0.92593,0.9185,0.7802,0.81356,0.62909,1.11988,0.000647,0.000647,0.000647
43,664.76,0.47281,0.36996,0.89992,0.89958,0.82716,0.90105,0.78076,0.79642,0.65075,1.17003,0.000614,0.000614,0.000614
44,679.567,0.47013,0.36222,0.91618,0.89463,0.81481,0.88708,0.77316,0.67947,0.79313,0.99614,0.000581,0.000581,0.000581
45,695.872,0.45076,0.35194,0.90533,0.88044,0.81829,0.89372,0.77463,0.64227,0.80658,0.95637,0.000548,0.000548,0.000548
46,711.315,0.46842,0.36538,0.89279,0.86002,0.8642,0.88999,0.77445,0.63523,0.60109,0.96466,0.000515,0.000515,0.000515
47,727.316,0.46364,0.36549,0.91088,0.85182,0.85185,0.8644,0.76752,0.68044,1.01834,0.99969,0.000482,0.000482,0.000482
48,742.743,0.46358,0.36511,0.91288,0.91539,0.80247,0.87952,0.78773,0.63239,1.0266,0.99056,0.000449,0.000449,0.000449
49,759.023,0.42553,0.32939,0.89103,0.92462,0.80247,0.90176,0.79399,0.64683,0.84929,0.97688,0.000416,0.000416,0.000416
50,775.504,0.44229,0.32869,0.90068,0.90844,0.80247,0.89795,0.79693,0.72177,0.7451,1.03397,0.000383,0.000383,0.000383
51,800.172,0.37742,0.29379,0.83629,0.83706,0.87654,0.8841,0.78177,0.73828,0.84317,1.02172,0.00035,0.00035,0.00035
52,816.711,0.37817,0.30053,0.84872,0.83776,0.89255,0.90151,0.79728,0.72735,0.53352,1.0675,0.000317,0.000317,0.000317
53,832.865,0.37179,0.28512,0.84071,0.84281,0.90123,0.90749,0.80558,0.68731,0.55307,1.04316,0.000284,0.000284,0.000284
54,848.155,0.37677,0.28512,0.83295,0.86106,0.84167,0.90848,0.79605,0.65294,0.69454,0.99919,0.000251,0.000251,0.000251
55,864.684,0.37634,0.27296,0.83187,0.86736,0.83951,0.89864,0.78847,0.6579,0.69709,0.98514,0.000218,0.000218,0.000218
56,879.751,0.36013,0.25824,0.82858,0.84333,0.87654,0.89616,0.78465,0.64032,0.72832,0.98039,0.000185,0.000185,0.000185
57,895.111,0.35966,0.25971,0.82698,0.83364,0.86616,0.89046,0.78453,0.63649,0.93744,0.95599,0.000152,0.000152,0.000152
58,909.628,0.3396,0.25288,0.82232,0.81713,0.88266,0.88611,0.79336,0.63423,1.07686,0.96272,0.000119,0.000119,0.000119
59,925.355,0.3543,0.25001,0.83198,0.81299,0.88889,0.88145,0.78665,0.6463,1.02239,0.97185,8.6e-05,8.6e-05,8.6e-05
60,940.555,0.35416,0.24324,0.83616,0.8099,0.87654,0.88819,0.79163,0.65494,0.92651,0.98139,5.3e-05,5.3e-05,5.3e-05
